x,y
-100.0,29806.0
-99.0,29211.0
-98.0,28622.0
-97.0,28039.0
-96.0,27462.0
-95.0,26891.0
-94.0,26326.0
-93.0,25767.0
-92.0,25214.0
-91.0,24667.0
-90.0,24126.0
-89.0,23591.0
-88.0,23062.0
-87.0,22539.0
-86.0,22022.0
-85.0,21511.0
-84.0,21006.0
-83.0,20507.0
-82.0,20014.0
-81.0,19527.0
-80.0,19046.0
-79.0,18571.0
-78.0,18102.0
-77.0,17639.0
-76.0,17182.0
-75.0,16731.0
-74.0,16286.0
-73.0,15847.0
-72.0,15414.0
-71.0,14987.0
-70.0,14566.0
-69.0,14151.0
-68.0,13742.0
-67.0,13339.0
-66.0,12942.0
-65.0,12551.0
-64.0,12166.0
-63.0,11787.0
-62.0,11414.0
-61.0,11047.0
-60.0,10686.0
-59.0,10331.0
-58.0,9982.0
-57.0,9639.0
-56.0,9302.0
-55.0,8971.0
-54.0,8646.0
-53.0,8327.0
-52.0,8014.0
-51.0,7707.0
-50.0,7406.0
-49.0,7111.0
-48.0,6822.0
-47.0,6539.0
-46.0,6262.0
-45.0,5991.0
-44.0,5726.0
-43.0,5467.0
-42.0,5214.0
-41.0,4967.0
-40.0,4726.0
-39.0,4491.0
-38.0,4262.0
-37.0,4039.0
-36.0,3822.0
-35.0,3611.0
-34.0,3406.0
-33.0,3207.0
-32.0,3014.0
-31.0,2827.0
-30.0,2646.0
-29.0,2471.0
-28.0,2302.0
-27.0,2139.0
-26.0,1982.0
-25.0,1831.0
-24.0,1686.0
-23.0,1547.0
-22.0,1414.0
-21.0,1287.0
-20.0,1166.0
-19.0,1051.0
-18.0,942.0
-17.0,839.0
-16.0,742.0
-15.0,651.0
-14.0,566.0
-13.0,487.0
-12.0,414.0
-11.0,347.0
-10.0,286.0
-9.0,231.0
-8.0,182.0
-7.0,139.0
-6.0,102.0
-5.0,71.0
-4.0,46.0
-3.0,27.0
-2.0,14.0
-1.0,7.0
0.0,6.0
1.0,11.0
2.0,22.0
3.0,39.0
4.0,62.0
5.0,91.0
6.0,126.0
7.0,167.0
8.0,214.0
9.0,267.0
10.0,326.0
11.0,391.0
12.0,462.0
13.0,539.0
14.0,622.0
15.0,711.0
16.0,806.0
17.0,907.0
18.0,1014.0
19.0,1127.0
20.0,1246.0
21.0,1371.0
22.0,1502.0
23.0,1639.0
24.0,1782.0
25.0,1931.0
26.0,2086.0
27.0,2247.0
28.0,2414.0
29.0,2587.0
30.0,2766.0
31.0,2951.0
32.0,3142.0
33.0,3339.0
34.0,3542.0
35.0,3751.0
36.0,3966.0
37.0,4187.0
38.0,4414.0
39.0,4647.0
40.0,4886.0
41.0,5131.0
42.0,5382.0
43.0,5639.0
44.0,5902.0
45.0,6171.0
46.0,6446.0
47.0,6727.0
48.0,7014.0
49.0,7307.0
50.0,7606.0
51.0,7911.0
52.0,8222.0
53.0,8539.0
54.0,8862.0
55.0,9191.0
56.0,9526.0
57.0,9867.0
58.0,10214.0
59.0,10567.0
60.0,10926.0
61.0,11291.0
62.0,11662.0
63.0,12039.0
64.0,12422.0
65.0,12811.0
66.0,13206.0
67.0,13607.0
68.0,14014.0
69.0,14427.0
70.0,14846.0
71.0,15271.0
72.0,15702.0
73.0,16139.0
74.0,16582.0
75.0,17031.0
76.0,17486.0
77.0,17947.0
78.0,18414.0
79.0,18887.0
80.0,19366.0
81.0,19851.0
82.0,20342.0
83.0,20839.0
84.0,21342.0
85.0,21851.0
86.0,22366.0
87.0,22887.0
88.0,23414.0
89.0,23947.0
90.0,24486.0
91.0,25031.0
92.0,25582.0
93.0,26139.0
94.0,26702.0
95.0,27271.0
96.0,27846.0
97.0,28427.0
98.0,29014.0
99.0,29607.0
100.0,30206.0
